video_status,render_batch,background_ready,song_dir,source_url
published,22,true,girls like me don't cry - thủy - T4gmE2nHA_M,https://www.youtube.com/watch?v=T4gmE2nHA_M
published,22,true,Hotel - Claire Rosinkranz - R5dAVAkwpUU,https://www.youtube.com/watch?v=R5dAVAkwpUU
published,22,true,Are You Bored Yet- (feat. Clairo) - Wallows - nt4_p9Pz0RI,https://www.youtube.com/watch?v=nt4_p9Pz0RI
rendered,1,true,Too Sweet (Official Video) - Hozier - NTpbbQUBbuo,https://www.youtube.com/watch?v=NTpbbQUBbuo
published,22,true,Clairo - Sofia - Claire Cottrill - L9l8zCOwEII,https://www.youtube.com/watch?v=L9l8zCOwEII
published,22,true,Go Away (Official Music Video) - weezer - pnTIsubYbCU,https://www.youtube.com/watch?v=pnTIsubYbCU
rendered,1,true,One Thing - One Direction - Y1xs_xPb46M,https://www.youtube.com/watch?v=Y1xs_xPb46M
published,22,true,To All the Boys I’ve Loved Before - JAX - Sdf0UxuN7uY,https://www.youtube.com/watch?v=Sdf0UxuN7uY
published,22,true,Billie Jean - Michael Jackson - 7CTJcHjkq0E,https://www.youtube.com/watch?v=7CTJcHjkq0E
rendered,1,true,Who Says - Selena Gomez - m4p0WNN9p-Y,https://www.youtube.com/watch?v=m4p0WNN9p-Y
rendered,1,true,Sad Girl Summer - Maisie Peters - EKDEIlVUPjI,https://www.youtube.com/watch?v=EKDEIlVUPjI
rendered,1,true,Dracula - Tame Impala - cuMuMnCRfqk,https://www.youtube.com/watch?v=cuMuMnCRfqk
published,22,true,As It Was (Official Video) - Harry Styles - H5v3kku4y6Q,https://www.youtube.com/watch?v=H5v3kku4y6Q
rendered,1,true,A Thousand Years [Official Music Video] - Christina Perri - rtOvBOTyX00,https://www.youtube.com/watch?v=rtOvBOTyX00
published,22,true,Summer Is for Falling in Love - Sarah Kang Music - zXbqad3UPCk,https://www.youtube.com/watch?v=zXbqad3UPCk
published,22,true,lazy afternoon - Sarah Kang Music - uk5-xGTAuL0,https://www.youtube.com/watch?v=uk5-xGTAuL0
published,22,true,old timers (feat. Nieman) - Sarah Kang Music - 6gj53-F8ztY,https://www.youtube.com/watch?v=6gj53-F8ztY
published,22,true,goodbye and godspeed - Sarah Kang Music - oPZjm2eQAlQ,https://www.youtube.com/watch?v=oPZjm2eQAlQ
published,22,true,easy to love - Sarah Kang Music - RvL2FHWsOLM,https://www.youtube.com/watch?v=RvL2FHWsOLM
published,22,true,no reason - Sarah Kang Music - F8XAs_m8qZ8,https://www.youtube.com/watch?v=F8XAs_m8qZ8
published,22,true,bittersweet (feat. Luke Chiang) - Sarah Kang Music - -xQUUgAaRoE,https://www.youtube.com/watch?v=-xQUUgAaRoE
published,22,true,i miss the old me - Sarah Kang Music - 0JY4Dz2LpEA,https://www.youtube.com/watch?v=0JY4Dz2LpEA
published,22,true,i'll never be loved like this again (feat. Takahiro Izumikawa) - Sarah Kang Music - p144b6sj084,https://www.youtube.com/watch?v=p144b6sj084
published,22,true,before & after - Sarah Kang Music - hRzD3oXRkyM,https://www.youtube.com/watch?v=hRzD3oXRkyM
published,22,true,Maybe One Day - Mina Okabe - nsMnVJ2XDdw,https://www.youtube.com/watch?v=nsMnVJ2XDdw
pending,3,true,Always Hurts - Mina Okabe - lH1xJUDMm2Q,https://www.youtube.com/watch?v=lH1xJUDMm2Q
published,22,true,Strong - Mina Okabe - MBTPzfvEXe8,https://www.youtube.com/watch?v=MBTPzfvEXe8
pending,3,true,A Little Bit More - Mina Okabe - P4mV6ncdB1Q,https://www.youtube.com/watch?v=P4mV6ncdB1Q
published,22,true,Making Plans - Mina Okabe - zAEz4WycIo8,https://www.youtube.com/watch?v=zAEz4WycIo8
published,22,true,Likeable - Mina Okabe - 7Tgugf1-ymA,https://www.youtube.com/watch?v=7Tgugf1-ymA
pending,3,true,Stranger - Mina Okabe - LjJIrgB9WJk,https://www.youtube.com/watch?v=LjJIrgB9WJk
pending,2,false,summer after senior year (feat. Michael Carreon) - Sarah Kang Music - 8LovM2oVqPM,https://www.youtube.com/watch?v=8LovM2oVqPM
pending,2,false,i have a crush on you (feat. Kazuki Isogai) - Sarah Kang Music - Sa_uktkOmMk,https://www.youtube.com/watch?v=Sa_uktkOmMk
pending,2,false,loml (feat. HOHYUN) - Sarah Kang Music - waeNhS9yAdk,https://www.youtube.com/watch?v=waeNhS9yAdk
pending,2,false,Mean Too Much - Mina Okabe - CR5Mowi1rL8,https://www.youtube.com/watch?v=CR5Mowi1rL8
pending,2,false,Dancing Around The Truth - Mina Okabe - mjk_8HeYack,https://www.youtube.com/watch?v=mjk_8HeYack
pending,2,false,Forever - Mina Okabe - ke_3MpO1m_o,https://www.youtube.com/watch?v=ke_3MpO1m_o
published,22,true,Your Song [Official Video] - Rita Ora - RsELrcVNzG0,https://www.youtube.com/watch?v=RsELrcVNzG0
pending,2,false,First Time High [Official Audio] - Rita Ora - qW9Z5BghHus,https://www.youtube.com/watch?v=qW9Z5BghHus
pending,3,false,Girls ft. Cardi B- Bebe Rexha & Charli XCX [Official Video] - Rita Ora - ExJmET8boVw,https://www.youtube.com/watch?v=ExJmET8boVw
published,22,true,Put Your Records On - Corinne Bailey Rae - cDrU3weV3_Y,https://www.youtube.com/watch?v=cDrU3weV3_Y
published,22,true,about time - Sarah Kang Music - LssgRVr8djY,https://www.youtube.com/watch?v=LssgRVr8djY
pending,3,false,Sarah Kang - Summer Is for Falling in Love (live acoustic) - Sarah Kang Music - vWQ7E0wZ5BU,https://www.youtube.com/watch?v=vWQ7E0wZ5BU
rendered,1,true,Lucky - Jason Mraz - ezVbN7e-L7Y,https://www.youtube.com/watch?v=ezVbN7e-L7Y
published,22,true,I Know a Place - chevy - K6QK_dVk8BY,https://www.youtube.com/watch?v=K6QK_dVk8BY
published,22,true,let's run away - Sarah Kang Music - rqpra7nXL_g,https://www.youtube.com/watch?v=rqpra7nXL_g
published,22,true,Fly Me to the Moon - Lucky (Mash-Up) (feat. Breea Guttery) - Rick Hale Music - 1w5kYuUlqL4,https://www.youtube.com/watch?v=1w5kYuUlqL4
published,22,true,Every Second - Mina Okabe - cXf3do6ltzU,https://www.youtube.com/watch?v=cXf3do6ltzU
published,22,true,lazy afternoon - Sarah Kang Music - RiU3HRYTM7Q,https://www.youtube.com/watch?v=RiU3HRYTM7Q
pending,2,false,Maybe the World is a Beautiful Place (feat. Lee Jin Ah) - Sarah Kang Music - 0bkXQYUTmgs,https://www.youtube.com/watch?v=0bkXQYUTmgs
published,22,true,Valentine - Laufey - Ejvz4EdcXM0,https://www.youtube.com/watch?v=Ejvz4EdcXM0
published,22,true,Nothing - Milena 밀레나 - _LvN1NhCeIU,https://www.youtube.com/watch?v=_LvN1NhCeIU
published,22,true,comethru - Jeremy Zucker - X1R7SrjI_o8,https://www.youtube.com/watch?v=X1R7SrjI_o8
published,22,true,Telephone - Lady Gaga - XkGIneCJRlc,https://www.youtube.com/watch?v=XkGIneCJRlc
pending,3,false,i know a place - chevy - bFHbrstGqBM,https://www.youtube.com/watch?v=bFHbrstGqBM
pending,2,false,It's a Vibe - Muse Petal - q7JcmvbygpM,https://www.youtube.com/watch?v=q7JcmvbygpM
published,22,true,Walk Away - Mina Okabe - iS5ex1oBfTI,https://www.youtube.com/watch?v=iS5ex1oBfTI
published,22,true,When It Snows - Sarah Kang Music - AQdy73E-l3g,https://www.youtube.com/watch?v=AQdy73E-l3g
published,22,true,We're All Gonna Die Anyway (feat. Jackson Lundy) - Sarah Kang Music - o8CybhLH9KI,https://www.youtube.com/watch?v=o8CybhLH9KI
rendered,1,true,Sweatshirt (with Gabe Bondoc) - Patrick Hizon - P8kgKKd-dqY,https://www.youtube.com/watch?v=P8kgKKd-dqY
pending,2,false,I Knew It- I Knew You - Taylor Swift - SzJXikN_4wA,https://www.youtube.com/watch?v=SzJXikN_4wA
published,22,true,It’s Okay Today - Jigoooo Radio - CzED0ifV9uM,https://www.youtube.com/watch?v=CzED0ifV9uM
published,22,true,Dreamer - Laufey - VB-LtTddtBw,https://www.youtube.com/watch?v=VB-LtTddtBw
rendered,1,true,Fall In Love Alone - Stacey Ryan - y-STe_g795o,https://www.youtube.com/watch?v=y-STe_g795o
pending,2,false,This Pace Is Still Progress - asafuwari - sLSMRPompnk,https://www.youtube.com/watch?v=sLSMRPompnk
pending,2,false,Canción De Amor - DannyHO - h_PDqnuEXfg,https://www.youtube.com/watch?v=h_PDqnuEXfg
published,22,true,Fool Moon - ARCANA - Topic - 2L-2zBOaq_g,https://www.youtube.com/watch?v=2L-2zBOaq_g
pending,2,false,No Competition - syd B - Ns3MbpQMNBs,https://www.youtube.com/watch?v=Ns3MbpQMNBs
pending,2,false,Soft Smiles Only - Mimi Chill Music - 4YYcWdW8vDM,https://www.youtube.com/watch?v=4YYcWdW8vDM
pending,2,false,Telescope - Milena 밀레나 - JEXBW0hhk38,https://www.youtube.com/watch?v=JEXBW0hhk38
pending,2,false,Loving you came easy - 9Duck - SncwslSGA1k,https://www.youtube.com/watch?v=SncwslSGA1k
published,22,true,Silver Lining - Laufey - f2PdKjdPMmU,https://www.youtube.com/watch?v=f2PdKjdPMmU
published,22,true,Worth It. - RAYE - Y4_l-9Uxvhg,https://www.youtube.com/watch?v=Y4_l-9Uxvhg
published,22,true,Stumblin' in (Acoustic Cover) - Audrey Stclair Acoustic Covers on Spotify - dqsxlYtWM-k,https://www.youtube.com/watch?v=dqsxlYtWM-k
pending,2,false,Last Receipt - ZeroZoneZone - a0VPrYLHvJA,https://www.youtube.com/watch?v=a0VPrYLHvJA
pending,2,false,goodnight - Sarah Kang Music - tDDdmYGgBXA,https://www.youtube.com/watch?v=tDDdmYGgBXA
published,22,true,Adventure with You (feat. Cy Leo) - Sarah Kang Music - wI33QEo2SbQ,https://www.youtube.com/watch?v=wI33QEo2SbQ
published,22,true,You- Dear - Eloise - SpDVSZIbQms,https://www.youtube.com/watch?v=SpDVSZIbQms
published,22,true,Alright - Couch - yjzNbYpPOKE,https://www.youtube.com/watch?v=yjzNbYpPOKE
published,22,true,Time Traveling - Anthony Lazaro - pzYFPxEXSU8,https://www.youtube.com/watch?v=pzYFPxEXSU8
published,22,true,Like I'm Gonna Lose You - Meghan Trainor - b2gTGEeB12w,https://www.youtube.com/watch?v=b2gTGEeB12w
pending,3,false,stupid song (Official Music Video) - Olivia Rodrigo - Rt9tW3cMLhI,https://www.youtube.com/watch?v=Rt9tW3cMLhI
published,22,true,People You Know - Selena Gomez - o6RkncuPKT0,https://www.youtube.com/watch?v=o6RkncuPKT0
rendered,1,true,Please Please Please - Sabrina Carpenter - 62yox0F5lcA,https://www.youtube.com/watch?v=62yox0F5lcA
published,22,true,Good Graces - Sabrina Carpenter - Fq_LG6SPSFU,https://www.youtube.com/watch?v=Fq_LG6SPSFU
pending,2,false,The Perfect Men - KAESOR - xSL2eeKvxIQ,https://www.youtube.com/watch?v=xSL2eeKvxIQ
published,22,true,Blank Space (Taylor's Version) - Taylor Swift - -MtKC5wXqdQ,https://www.youtube.com/watch?v=-MtKC5wXqdQ
pending,3,false,What's Up (Official Music Video) - 4 Non Blondes - 6NXnxTNIWkc,https://www.youtube.com/watch?v=6NXnxTNIWkc
pending,3,false,drop dead (Official Music Video) - Olivia Rodrigo - 78wrful9cVU,https://www.youtube.com/watch?v=78wrful9cVU
pending,3,false,WHERE IS MY HUSBAND! (Official Music Video) - RAYE - rK5TyISxZ_M,https://www.youtube.com/watch?v=rK5TyISxZ_M
pending,3,false,The Subway (Official Music Video) - Chappell Roan - woLfAvD5iXI,https://www.youtube.com/watch?v=woLfAvD5iXI
pending,3,false,Beautiful Things (Official Music Video) - Benson Boone - Oa_RSwwpPaA,https://www.youtube.com/watch?v=Oa_RSwwpPaA
pending,3,false,Lady Gaga- Bruno Mars - Die With A Smile (Official Music Video) - Lady Gaga - kPa7bsKwL-c,https://www.youtube.com/watch?v=kPa7bsKwL-c
published,22,true,City - Claire Rosinkranz - N1jOUNnwSvM,https://www.youtube.com/watch?v=N1jOUNnwSvM
published,22,true,My Lover - Claire Rosinkranz - LaweEvdMrWc,https://www.youtube.com/watch?v=LaweEvdMrWc
rendered,1,true,Lucy - Claire Rosinkranz - DwjxcgvGmd4,https://www.youtube.com/watch?v=DwjxcgvGmd4
published,22,true,Dreamer - Claire Rosinkranz - UIqVNNRpaQM,https://www.youtube.com/watch?v=UIqVNNRpaQM
published,22,true,change ur mind - Sarcastic Sounds - 74uGNS-iH2Q,https://www.youtube.com/watch?v=74uGNS-iH2Q
rendered,1,true,Crazy Bitch Song - Claire Rosinkranz - GuEZ5NinE2k,https://www.youtube.com/watch?v=GuEZ5NinE2k
published,22,true,Wes Anderson - Claire Rosinkranz - IsJv3igTblM,https://www.youtube.com/watch?v=IsJv3igTblM
pending,3,false,Sk8er Boi (Official Video) - Avril Lavigne - TIy3n2b7V9k,https://www.youtube.com/watch?v=TIy3n2b7V9k
rendered,0,true,Training Season - Dua Lipa - n0GXk_T2zs8,https://www.youtube.com/watch?v=n0GXk_T2zs8
rendered,1,true,Juno - Sabrina Carpenter - j360s9CtZTs,https://www.youtube.com/watch?v=j360s9CtZTs
rendered,0,true,u + me = ᐸ3 - Olivia Rodrigo - T_UEawa2wCk,https://www.youtube.com/watch?v=T_UEawa2wCk
rendered,0,true,Say My Name In Your Sleep - Maisie Peters - UodZ1TwbzBQ,https://www.youtube.com/watch?v=UodZ1TwbzBQ
rendered,1,true,Brutus - Em Beihold - Zj-LCZCjV4o,https://www.youtube.com/watch?v=Zj-LCZCjV4o
rendered,0,true,expectations - Olivia Rodrigo - ZYUql_ZPHrc,https://www.youtube.com/watch?v=ZYUql_ZPHrc
rendered,0,true,Anything but Ordinary - Avril Lavigne - SEznlnk8Zaw,https://www.youtube.com/watch?v=SEznlnk8Zaw
rendered,0,true,Cure For Me - AURORA - sW6f4FXFzA0,https://www.youtube.com/watch?v=sW6f4FXFzA0
rendered,1,true,Everybody Hurts - Avril Lavigne - RpvAB49Zmt0,https://www.youtube.com/watch?v=RpvAB49Zmt0
rendered,1,true,Summertime Sadness - Lana Del Rey - fRQg_9ulGuI,https://www.youtube.com/watch?v=fRQg_9ulGuI
pending,3,false,Runaway - AURORA - d_HlPboLRL8,https://www.youtube.com/watch?v=d_HlPboLRL8
pending,3,false,Conqueror - AURORA - dmVAmlpbnD4,https://www.youtube.com/watch?v=dmVAmlpbnD4
rendered,0,true,Running with the Wolves - AURORA - n2ITLWyCLD4,https://www.youtube.com/watch?v=n2ITLWyCLD4
pending,2,false,Winter Bird - AURORA - FYFNzSTVvJk,https://www.youtube.com/watch?v=FYFNzSTVvJk
pending,2,false,I Went Too Far - AURORA - eT6dLJd3rYk,https://www.youtube.com/watch?v=eT6dLJd3rYk
rendered,0,true,you broke me first - Tate McRae - 0cmbxttS-RY,https://www.youtube.com/watch?v=0cmbxttS-RY
rendered,0,true,Artemis - AURORA - Meu5o7MzNuM,https://www.youtube.com/watch?v=Meu5o7MzNuM
pending,0,true,The Innocent - AURORA - GkaFFlBZk5k,https://www.youtube.com/watch?v=GkaFFlBZk5k
rendered,0,true,I'm with You - Avril Lavigne - _qHWIvq_WR4,https://www.youtube.com/watch?v=_qHWIvq_WR4
rendered,0,true,Nobody’s Son - Sabrina Carpenter - Cmm9coKobBM,https://www.youtube.com/watch?v=Cmm9coKobBM
rendered,1,true,Safe & Sound (Taylor's Version) - Taylor Swift - a5Icr9m8vbc,https://www.youtube.com/watch?v=a5Icr9m8vbc
rendered,0,true,what’s wrong with me - Olivia Rodrigo - zT0a4u-cFlY,https://www.youtube.com/watch?v=zT0a4u-cFlY
rendered,0,true,Such A Funny Way - Sabrina Carpenter - Ynkoeno5cfU,https://www.youtube.com/watch?v=Ynkoeno5cfU
rendered,0,true,willow - Taylor Swift - qxrMpCMdYwk,https://www.youtube.com/watch?v=qxrMpCMdYwk
rendered,0,true,honeybee - Olivia Rodrigo - XezOkkUM--w,https://www.youtube.com/watch?v=XezOkkUM--w
rendered,0,true,Cruel Summer - Taylor Swift - aC9HkZW2hZk,https://www.youtube.com/watch?v=aC9HkZW2hZk
